serial_number,time_stamp,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year,15 year,20 year,25 year,30 year
1128,2002-03-20,0.03,0.049,0.214,0.393,0.548,0.744,0.963,1.177,1.337,1.442,1.881,2.065,,2.442
1129,2002-03-19,0.031,0.05,0.219,0.394,0.548,0.741,0.963,1.191,1.354,1.441,1.867,2.049,,2.442
1130,2002-03-18,0.041,0.055,0.222,0.396,0.551,0.741,0.959,1.192,1.357,1.444,1.861,2.042,,2.446
1131,2002-03-15,0.034,0.059,0.229,0.409,0.568,0.759,0.977,1.209,1.364,1.45,1.862,2.046,,2.454
1132,2002-03-14,0.032,0.058,0.223,0.404,0.562,0.75,0.962,1.184,1.333,1.419,1.828,2.015,,2.427
1133,2002-03-13,0.032,0.06,0.233,0.426,0.587,0.784,0.998,1.211,1.352,1.44,1.843,2.027,,2.439
1134,2002-03-12,0.033,0.063,0.236,0.433,0.601,0.799,1.01,1.229,1.371,1.458,1.858,2.048,,2.464
1135,2002-03-11,0.034,0.068,0.246,0.445,0.618,0.823,1.04,1.262,1.397,1.481,1.88,2.072,,2.502
1136,2002-03-08,0.035,0.065,0.243,0.427,0.597,0.792,1.004,1.228,1.364,1.449,1.846,2.043,,2.482
1137,2002-03-07,0.036,0.065,0.237,0.412,0.576,0.757,0.965,1.206,1.347,1.435,1.836,2.044,,2.482
1138,2002-03-06,0.037,0.07,0.25,0.427,0.594,0.782,0.994,1.224,1.362,1.451,1.857,2.064,,2.499
1139,2002-03-05,0.037,0.072,0.254,0.432,0.604,0.802,1.01,1.236,1.376,1.464,1.875,2.082,,2.515
1140,2002-03-04,0.038,0.075,0.256,0.439,0.613,0.813,1.019,1.247,1.394,1.482,1.895,2.103,,2.534
1141,2002-03-01,0.034,0.081,0.266,0.459,0.641,0.838,1.048,1.273,1.418,1.502,1.92,2.125,,2.554
1142,2002-02-28,0.034,0.081,0.266,0.465,0.653,0.861,1.079,1.29,1.43,1.511,1.931,2.136,,2.566
1143,2002-02-27,0.035,0.086,0.279,0.479,0.666,0.871,1.085,1.305,1.444,1.527,1.953,2.159,,2.585
1144,2002-02-26,0.035,0.086,0.279,0.476,0.664,0.869,1.083,1.311,1.454,1.535,1.958,2.166,,2.59
1145,2002-02-25,0.036,0.081,0.258,0.453,0.64,0.843,1.061,1.292,1.434,1.515,1.94,2.153,,2.579
1146,2002-02-22,0.038,0.08,0.258,0.452,0.645,0.842,1.061,1.294,1.436,1.514,1.94,2.154,,2.587
1147,2002-02-21,0.039,0.08,0.258,0.457,0.647,0.833,1.048,1.28,1.426,1.503,1.929,2.144,,2.575
1148,2002-02-20,0.04,0.075,0.271,0.48,0.678,0.875,1.096,1.32,1.462,1.535,1.956,2.164,,2.59
1149,2002-02-19,0.039,0.07,0.27,0.479,0.677,0.871,1.096,1.319,1.461,1.524,1.945,2.157,,2.584
1150,2002-02-18,0.03,0.06,0.253,0.455,0.651,0.847,1.078,1.304,1.448,1.512,1.924,2.131,,2.563
1151,2002-02-15,0.033,0.055,0.241,0.446,0.642,0.837,1.071,1.293,1.438,1.503,1.929,2.141,,2.573
1152,2002-02-14,0.031,0.06,0.248,0.458,0.659,0.867,1.102,1.32,1.46,1.523,1.97,2.187,,2.615
1153,2002-02-13,0.032,0.06,0.239,0.442,0.643,0.851,1.086,1.305,1.448,1.511,1.974,2.197,,2.625
1154,2002-02-12,0.026,0.055,0.221,0.414,0.612,0.824,1.058,1.275,1.416,1.478,1.946,2.163,,2.61
1155,2002-02-08,0.026,0.057,0.225,0.43,0.632,0.849,1.083,1.306,1.454,1.516,1.979,2.185,,2.643
1156,2002-02-07,0.027,0.06,0.244,0.464,0.671,0.901,1.144,1.363,1.511,1.565,2.027,2.232,,2.683
1157,2002-02-06,0.028,0.057,0.236,0.451,0.652,0.893,1.143,1.352,1.497,1.549,2.02,2.23,,2.683
1158,2002-02-05,0.029,0.06,0.25,0.471,0.672,0.906,1.152,1.355,1.495,1.538,2.017,2.232,,2.68
1159,2002-02-04,0.03,0.06,0.244,0.459,0.657,0.885,1.119,1.326,1.467,1.51,1.986,2.208,,2.654
1160,2002-02-01,0.033,0.063,0.264,0.498,0.696,0.929,1.153,1.349,1.471,1.508,1.972,2.2,,2.64
1161,2002-01-31,0.024,0.065,0.254,0.486,0.678,0.903,1.115,1.318,1.448,1.486,1.932,2.167,,2.614
1162,2002-01-30,0.028,0.071,0.261,0.481,0.665,0.894,1.106,1.313,1.445,1.488,1.92,2.155,,2.601
1163,2002-01-29,0.027,0.072,0.255,0.466,0.641,0.873,1.079,1.292,1.424,1.476,1.897,2.13,,2.579
1164,2002-01-28,0.029,0.067,0.246,0.455,0.632,0.863,1.07,1.275,1.398,1.453,1.866,2.103,,2.554
1165,2002-01-25,0.033,0.071,0.256,0.467,0.647,0.887,1.101,1.297,1.417,1.472,1.887,2.118,,2.567
1166,2002-01-24,0.034,0.071,0.257,0.457,0.618,0.858,1.063,1.262,1.396,1.468,1.878,2.111,,2.562
1167,2002-01-23,0.035,0.071,0.262,0.459,0.61,0.835,1.034,1.227,1.365,1.439,1.854,2.09,,2.543
1168,2002-01-22,0.047,0.081,0.278,0.473,0.62,0.851,1.055,1.236,1.365,1.438,1.848,2.086,,2.541
1169,2002-01-21,0.048,0.08,0.277,0.472,0.616,0.85,1.059,1.235,1.364,1.441,1.85,2.087,,2.541
1170,2002-01-18,0.041,0.074,0.274,0.457,0.59,0.816,1.021,1.203,1.346,1.425,1.839,2.078,,2.531
1171,2002-01-17,0.043,0.079,0.269,0.444,0.573,0.791,0.992,1.183,1.337,1.421,1.838,2.076,,2.531
1172,2002-01-16,0.044,0.074,0.256,0.422,0.545,0.755,0.954,1.149,1.31,1.399,1.819,2.061,,2.517
1173,2002-01-15,0.046,0.078,0.262,0.428,0.553,0.77,0.972,1.162,1.323,1.413,1.826,2.067,,2.523
1174,2002-01-11,0.05,0.076,0.257,0.421,0.541,0.751,0.949,1.142,1.305,1.4,1.814,2.058,,2.516
1175,2002-01-10,0.044,0.078,0.254,0.425,0.552,0.75,0.939,1.131,1.296,1.393,1.807,2.053,,2.511
1176,2002-01-09,0.046,0.078,0.254,0.425,0.555,0.749,0.934,1.123,1.289,1.384,1.802,2.048,,2.506
1177,2002-01-08,0.048,0.078,0.248,0.42,0.551,0.753,0.943,1.131,1.298,1.397,1.809,2.053,,2.509
1178,2002-01-07,0.05,0.077,0.243,0.412,0.541,0.747,0.935,1.122,1.288,1.388,1.8,2.045,,2.501
1179,2002-01-04,0.049,0.079,0.25,0.417,0.548,0.761,0.956,1.138,1.3,1.401,1.812,2.056,,2.509
1180,2001-12-28,0.047,0.076,0.228,0.378,0.51,0.707,0.903,1.085,1.254,1.369,1.78,2.03,,2.484
1181,2001-12-27,0.048,0.076,0.218,0.361,0.491,0.675,0.876,1.057,1.231,1.349,1.774,2.028,,2.483
1182,2001-12-26,0.05,0.075,0.208,0.351,0.481,0.651,0.849,1.03,1.206,1.33,1.753,2.012,,2.467
1183,2001-12-25,0.052,0.075,0.208,0.351,0.482,0.646,0.845,1.025,1.2,1.325,1.744,2.004,,2.458
1184,2001-12-21,0.048,0.075,0.209,0.352,0.481,0.641,0.837,1.018,1.194,1.32,1.739,1.999,,2.453
1185,2001-12-20,0.05,0.084,0.228,0.362,0.497,0.659,0.848,1.03,1.204,1.327,1.743,2.001,,2.457
1186,2001-12-19,0.05,0.085,0.227,0.37,0.504,0.669,0.86,1.044,1.217,1.338,1.757,2.013,,2.468
1187,2001-12-18,0.052,0.085,0.229,0.367,0.5,0.664,0.858,1.038,1.21,1.332,1.753,2.01,,2.466
1188,2001-12-17,0.052,0.085,0.225,0.365,0.499,0.664,0.857,1.039,1.211,1.332,1.759,2.02,,2.471
1189,2001-12-14,0.047,0.085,0.224,0.363,0.496,0.664,0.855,1.042,1.223,1.34,1.776,2.036,,2.484
1190,2001-12-13,0.049,0.085,0.217,0.349,0.474,0.643,0.837,1.032,1.216,1.331,1.773,2.035,,2.481
1191,2001-12-12,0.05,0.085,0.22,0.358,0.481,0.657,0.852,1.052,1.232,1.342,1.787,2.048,,2.49
1192,2001-12-11,0.051,0.085,0.221,0.364,0.479,0.656,0.849,1.057,1.24,1.349,1.79,2.05,,2.491
1193,2001-12-10,0.049,0.088,0.238,0.381,0.495,0.683,0.877,1.073,1.246,1.351,1.786,2.042,,2.483
1194,2001-12-07,0.047,0.09,0.244,0.396,0.51,0.708,0.904,1.092,1.259,1.364,1.8,2.051,,2.49
1195,2001-12-06,0.048,0.09,0.247,0.413,0.533,0.735,0.933,1.123,1.288,1.396,1.838,2.085,,2.517
1196,2001-12-05,0.049,0.09,0.246,0.403,0.518,0.718,0.915,1.097,1.264,1.374,1.822,2.082,,2.486
1197,2001-12-04,0.045,0.1,0.264,0.421,0.531,0.734,0.93,1.11,1.274,1.382,1.819,2.076,,2.471
1198,2001-12-03,0.046,0.105,0.27,0.428,0.535,0.742,0.94,1.118,1.284,1.392,1.814,2.067,,2.448
1199,2001-11-30,0.046,0.105,0.266,0.42,0.524,0.716,0.902,1.081,1.248,1.355,1.779,2.031,,2.41
1200,2001-11-29,0.048,0.116,0.285,0.447,0.558,0.735,0.918,1.103,1.271,1.374,1.807,2.055,,2.429
1201,2001-11-28,0.039,0.1,0.247,0.416,0.529,0.706,0.893,1.079,1.247,1.35,1.787,2.039,,2.415
1202,2001-11-27,0.04,0.1,0.248,0.43,0.549,0.734,0.925,1.112,1.276,1.381,1.823,2.071,,2.441
1203,2001-11-26,0.04,0.097,0.245,0.401,0.525,0.692,0.879,1.07,1.237,1.357,1.787,2.042,,2.413
1204,2001-11-22,0.037,0.09,0.226,0.379,0.505,0.663,0.848,1.039,1.209,1.335,1.755,2.011,,2.39
1205,2001-11-21,0.038,0.09,0.227,0.381,0.508,0.669,0.853,1.047,1.218,1.343,1.752,2.007,,2.389
1206,2001-11-20,0.04,0.09,0.227,0.378,0.51,0.676,0.864,1.063,1.238,1.367,1.764,2.015,,2.398
1207,2001-11-19,0.03,0.09,0.224,0.366,0.499,0.665,0.854,1.052,1.228,1.358,1.752,2.007,,2.393
1208,2001-11-16,0.033,0.089,0.224,0.365,0.504,0.675,0.867,1.064,1.24,1.372,1.771,2.023,,2.411
1209,2001-11-15,0.035,0.089,0.217,0.354,0.491,0.664,0.854,1.049,1.225,1.357,1.766,2.022,,2.413
1210,2001-11-14,0.034,0.085,0.208,0.344,0.479,0.644,0.832,1.028,1.209,1.346,1.763,2.019,,2.415
1211,2001-11-13,0.028,0.084,0.214,0.344,0.478,0.637,0.823,1.016,1.195,1.336,1.754,2.011,,2.411
1212,2001-11-12,0.03,0.083,0.21,0.345,0.475,0.632,0.814,1.008,1.185,1.327,1.748,2.006,,2.409
1213,2001-11-09,0.035,0.083,0.209,0.348,0.478,0.635,0.819,1.016,1.194,1.336,1.756,2.013,,2.416
1214,2001-11-08,0.036,0.083,0.205,0.332,0.459,0.612,0.795,0.994,1.169,1.314,1.735,1.994,,2.399
1215,2001-11-07,0.038,0.085,0.197,0.326,0.45,0.599,0.775,0.971,1.142,1.287,1.693,1.948,,2.398
1216,2001-11-06,0.035,0.087,0.214,0.337,0.464,0.62,0.796,0.991,1.163,1.311,1.708,1.959,,2.406
1217,2001-11-05,0.036,0.087,0.211,0.338,0.464,0.618,0.789,0.985,1.16,1.311,1.708,1.958,,2.409
1218,2001-11-02,0.037,0.087,0.212,0.344,0.469,0.621,0.792,0.991,1.167,1.32,1.723,1.973,,2.428
1219,2001-11-01,0.039,0.087,0.212,0.344,0.473,0.62,0.791,0.991,1.17,1.326,1.742,1.995,,2.457
1220,2001-10-31,0.034,0.087,0.214,0.349,0.482,0.626,0.798,0.994,1.17,1.326,1.75,2.005,,2.473
1221,2001-10-30,0.035,0.086,0.211,0.343,0.475,0.625,0.802,1.005,1.186,1.341,1.767,2.025,,2.497
1222,2001-10-29,0.037,0.085,0.197,0.332,0.464,0.613,0.793,0.996,1.179,1.339,1.762,2.018,,2.496
1223,2001-10-26,0.032,0.085,0.195,0.332,0.463,0.613,0.791,0.994,1.179,1.338,1.758,2.015,,2.49
1224,2001-10-25,0.033,0.085,0.195,0.331,0.461,0.61,0.788,0.99,1.174,1.333,1.749,2.007,,2.486
1225,2001-10-24,0.035,0.086,0.21,0.337,0.467,0.614,0.792,0.991,1.173,1.332,1.746,2.003,,2.48
1226,2001-10-23,0.036,0.086,0.212,0.343,0.477,0.626,0.805,1,1.178,1.337,1.753,2.011,,2.485
1227,2001-10-22,0.038,0.09,0.214,0.343,0.48,0.631,0.815,1.017,1.202,1.365,1.781,2.037,,2.502
1228,2001-10-19,0.032,0.085,0.206,0.337,0.475,0.625,0.81,1.015,1.206,1.369,1.788,2.042,,2.507
1229,2001-10-18,0.034,0.085,0.197,0.327,0.463,0.61,0.798,1.007,1.206,1.368,1.786,2.04,,2.499
1230,2001-10-17,0.035,0.084,0.203,0.337,0.475,0.629,0.822,1.03,1.228,1.383,1.802,2.05,,2.499
1231,2001-10-16,0.037,0.08,0.184,0.326,0.458,0.609,0.8,1.01,1.208,1.36,1.783,2.034,,2.487
1232,2001-10-15,0.037,0.084,0.2,0.338,0.477,0.638,0.835,1.045,1.237,1.388,1.811,2.059,,2.499
1233,2001-10-12,0.034,0.083,0.197,0.339,0.476,0.641,0.84,1.047,1.235,1.387,1.812,2.059,,2.488
1234,2001-10-11,0.035,0.081,0.202,0.332,0.469,0.632,0.825,1.03,1.216,1.369,1.784,2.033,,2.46
1235,2001-10-10,0.033,0.086,0.209,0.342,0.483,0.654,0.851,1.055,1.24,1.396,1.804,2.054,,2.466
1236,2001-10-09,0.029,0.086,0.205,0.338,0.479,0.645,0.84,1.048,1.235,1.396,1.803,2.067,,2.451
1237,2001-10-05,0.035,0.084,0.202,0.332,0.473,0.638,0.832,1.039,1.226,1.388,1.789,2.054,,2.427
1238,2001-10-04,0.031,0.082,0.191,0.325,0.471,0.638,0.832,1.037,1.221,1.379,1.788,2.056,,2.421
1239,2001-10-03,0.028,0.082,0.184,0.31,0.456,0.627,0.82,1.036,1.223,1.384,1.785,2.061,,2.407
1240,2001-10-02,0.03,0.081,0.181,0.303,0.446,0.616,0.809,1.026,1.219,1.377,1.766,2.042,,2.386
1241,2001-10-01,0.032,0.086,0.189,0.323,0.466,0.64,0.834,1.051,1.242,1.395,1.775,2.044,,2.386
1242,2001-09-28,0.029,0.085,0.197,0.346,0.489,0.665,0.857,1.07,1.26,1.409,1.791,2.051,,2.395
1243,2001-09-27,0.028,0.086,0.201,0.341,0.485,0.656,0.845,1.059,1.247,1.398,1.775,2.04,,2.385
1244,2001-09-26,0.03,0.085,0.206,0.349,0.498,0.671,0.866,1.077,1.263,1.413,1.795,2.055,,2.398
1245,2001-09-25,0.031,0.08,0.196,0.337,0.486,0.653,0.838,1.045,1.233,1.385,1.767,2.032,,2.379
1246,2001-09-21,0.028,0.08,0.194,0.338,0.492,0.657,0.842,1.048,1.238,1.393,1.777,2.023,,2.388
1247,2001-09-20,0.03,0.079,0.196,0.343,0.5,0.67,0.857,1.071,1.266,1.424,1.808,2.054,,2.412
1248,2001-09-19,0.029,0.07,0.16,0.315,0.467,0.628,0.821,1.046,1.247,1.394,1.785,2.036,,2.4
1249,2001-09-18,0.021,0.06,0.134,0.276,0.426,0.583,0.776,1.002,1.201,1.319,1.744,2.002,,2.37
1250,2001-09-17,0.023,0.06,0.122,0.261,0.412,0.57,0.763,0.99,1.187,1.304,1.732,1.995,,2.364
1251,2001-09-14,0.028,0.065,0.136,0.292,0.461,0.635,0.842,1.067,1.258,1.373,1.798,2.052,,2.41
1252,2001-09-13,0.027,0.064,0.151,0.323,0.496,0.678,0.886,1.106,1.291,1.403,1.826,2.076,,2.428
1253,2001-09-12,0.021,0.065,0.151,0.329,0.502,0.678,0.885,1.098,1.273,1.388,1.806,2.06,,2.415
1254,2001-09-11,0.023,0.068,0.166,0.346,0.514,0.69,0.886,1.093,1.261,1.376,1.792,2.043,,2.401
1255,2001-09-10,0.024,0.063,0.167,0.341,0.503,0.672,0.865,1.076,1.25,1.369,1.789,2.045,,2.403
1256,2001-09-07,0.029,0.065,0.167,0.342,0.502,0.669,0.861,1.071,1.243,1.364,1.788,2.043,,2.4
1257,2001-09-06,0.035,0.072,0.177,0.347,0.504,0.669,0.858,1.061,1.236,1.357,1.783,2.042,,2.396
1258,2001-09-05,0.042,0.077,0.184,0.35,0.502,0.657,0.839,1.037,1.21,1.329,1.751,2.012,,2.369
1259,2001-09-04,0.043,0.085,0.193,0.36,0.511,0.672,0.852,1.047,1.22,1.342,1.759,2.023,,2.377
1260,2001-09-03,0.045,0.087,0.199,0.369,0.524,0.688,0.866,1.063,1.233,1.357,1.772,2.035,,2.387
1261,2001-08-31,0.038,0.086,0.187,0.347,0.497,0.647,0.822,1.028,1.202,1.328,1.745,2.011,,2.366
1262,2001-08-30,0.04,0.086,0.182,0.342,0.491,0.64,0.81,1.014,1.191,1.317,1.734,1.998,,2.359
1263,2001-08-29,0.041,0.086,0.182,0.347,0.5,0.649,0.82,1.028,1.209,1.335,1.744,2.005,,2.368
1264,2001-08-28,0.042,0.086,0.181,0.346,0.497,0.645,0.815,1.025,1.209,1.335,1.748,2.009,,2.378
1265,2001-08-27,0.043,0.087,0.182,0.354,0.502,0.663,0.841,1.049,1.232,1.366,1.782,2.043,,2.405
1266,2001-08-24,0.045,0.09,0.172,0.332,0.476,0.632,0.804,1.016,1.204,1.339,1.762,2.029,,2.4
1267,2001-08-23,0.047,0.095,0.182,0.34,0.481,0.64,0.807,1.017,1.209,1.344,1.767,2.04,,2.41
1268,2001-08-22,0.047,0.095,0.178,0.325,0.462,0.607,0.769,0.984,1.181,1.319,1.739,2.023,,2.396
1269,2001-08-21,0.049,0.095,0.181,0.331,0.474,0.624,0.793,1.012,1.215,1.354,1.779,2.061,,2.429
1270,2001-08-20,0.05,0.085,0.172,0.313,0.449,0.604,0.777,0.999,1.204,1.344,1.775,2.06,,2.425
1271,2001-08-17,0.046,0.08,0.165,0.299,0.438,0.594,0.767,0.982,1.184,1.329,1.757,2.044,,2.41
1272,2001-08-16,0.046,0.07,0.149,0.276,0.41,0.566,0.745,0.961,1.158,1.302,1.736,2.025,,2.393
1273,2001-08-15,0.047,0.07,0.136,0.257,0.391,0.547,0.723,0.95,1.15,1.295,1.729,2.02,,2.386
1274,2001-08-14,0.05,0.085,0.161,0.281,0.416,0.567,0.737,0.964,1.156,1.299,1.716,2.004,,2.372
1275,2001-08-13,0.058,0.095,0.183,0.303,0.439,0.592,0.763,0.981,1.163,1.303,1.716,2.001,,2.373
1276,2001-08-10,0.061,0.102,0.197,0.322,0.457,0.62,0.794,1.002,1.172,1.314,1.723,2.005,,2.375
1277,2001-08-09,0.062,0.118,0.231,0.366,0.506,0.676,0.861,1.053,1.215,1.354,1.756,2.03,,2.402
1278,2001-08-08,0.063,0.126,0.25,0.383,0.525,0.692,0.872,1.063,1.227,1.366,1.771,2.048,,2.418
1279,2001-08-07,0.07,0.136,0.278,0.42,0.575,0.753,0.938,1.125,1.289,1.43,1.845,2.121,,2.483
1280,2001-08-06,0.06,0.122,0.25,0.383,0.53,0.7,0.883,1.077,1.249,1.395,1.814,2.098,,2.464
1281,2001-08-03,0.052,0.104,0.226,0.35,0.492,0.656,0.837,1.038,1.216,1.366,1.784,2.073,,2.441
1282,2001-08-02,0.049,0.097,0.207,0.331,0.468,0.623,0.799,1.002,1.183,1.337,1.754,2.047,,2.416
1283,2001-08-01,0.05,0.091,0.198,0.32,0.459,0.616,0.793,0.996,1.179,1.333,1.74,2.036,,2.407
1284,2001-07-31,0.051,0.091,0.194,0.32,0.461,0.622,0.803,1,1.178,1.333,1.733,2.03,,2.401
1285,2001-07-30,0.042,0.091,0.186,0.32,0.458,0.622,0.806,0.997,1.17,1.323,1.72,2.024,,2.392
1286,2001-07-27,0.045,0.09,0.184,0.318,0.457,0.621,0.804,0.99,1.162,1.316,1.705,2.007,,2.383
1287,2001-07-26,0.046,0.09,0.184,0.324,0.468,0.64,0.827,1.011,1.186,1.337,1.735,2.039,,2.412
1288,2001-07-25,0.047,0.09,0.188,0.342,0.493,0.677,0.871,1.057,1.236,1.385,1.792,2.09,,2.466
1289,2001-07-24,0.038,0.085,0.187,0.342,0.493,0.681,0.878,1.067,1.247,1.394,1.821,2.121,,2.49
1290,2001-07-23,0.039,0.085,0.18,0.331,0.473,0.654,0.845,1.033,1.214,1.364,1.798,2.103,,2.469
1291,2001-07-19,0.045,0.084,0.181,0.335,0.478,0.663,0.854,1.039,1.218,1.36,1.802,2.104,,2.467
1292,2001-07-18,0.038,0.084,0.181,0.333,0.473,0.654,0.84,1.025,1.202,1.345,1.782,2.082,,2.443
1293,2001-07-17,0.038,0.084,0.181,0.336,0.479,0.661,0.856,1.034,1.209,1.351,1.777,2.078,,2.436
1294,2001-07-16,0.038,0.079,0.172,0.323,0.461,0.646,0.837,1.016,1.188,1.331,1.747,2.045,,2.409
1295,2001-07-13,0.041,0.078,0.169,0.312,0.441,0.608,0.789,0.97,1.141,1.291,1.7,1.996,,2.364
1296,2001-07-12,0.042,0.078,0.169,0.307,0.43,0.59,0.762,0.939,1.108,1.258,1.665,1.968,,2.335
1297,2001-07-11,0.043,0.081,0.173,0.315,0.441,0.602,0.773,0.951,1.128,1.278,1.702,2.011,,2.371
1298,2001-07-10,0.04,0.083,0.181,0.331,0.463,0.636,0.816,1.002,1.183,1.334,1.769,2.07,,2.419
1299,2001-07-09,0.035,0.081,0.18,0.321,0.452,0.624,0.804,0.99,1.175,1.326,1.757,2.054,,2.399
1300,2001-07-06,0.038,0.077,0.163,0.286,0.405,0.55,0.715,0.899,1.081,1.233,1.652,1.959,,2.295
1301,2001-07-05,0.039,0.077,0.169,0.294,0.413,0.557,0.724,0.905,1.083,1.233,1.641,1.934,,2.27
1302,2001-07-04,0.04,0.079,0.172,0.302,0.429,0.571,0.738,0.924,1.102,1.254,1.648,1.935,,2.268
1303,2001-07-03,0.037,0.079,0.179,0.315,0.449,0.597,0.768,0.95,1.121,1.272,1.661,1.938,,2.27
1304,2001-07-02,0.031,0.078,0.179,0.315,0.449,0.596,0.767,0.945,1.112,1.263,1.651,1.922,,2.257
1305,2001-06-29,0.031,0.073,0.156,0.278,0.403,0.529,0.687,0.863,1.028,1.183,1.568,1.849,,2.189
1306,2001-06-28,0.024,0.067,0.137,0.256,0.364,0.481,0.631,0.803,0.967,1.125,1.506,1.796,,2.139
1307,2001-06-27,0.023,0.066,0.14,0.259,0.372,0.495,0.645,0.817,0.979,1.133,1.518,1.805,,2.149
1308,2001-06-26,0.024,0.066,0.137,0.262,0.38,0.506,0.656,0.826,0.987,1.14,1.528,1.813,,2.155
1309,2001-06-25,0.016,0.06,0.134,0.264,0.384,0.51,0.664,0.833,0.988,1.144,1.538,1.824,,2.163
1310,2001-06-22,0.018,0.055,0.14,0.271,0.397,0.529,0.69,0.859,1.013,1.171,1.574,1.862,,2.195
1311,2001-06-21,0.019,0.055,0.137,0.271,0.395,0.524,0.685,0.856,1.019,1.182,1.585,1.874,,2.203
1312,2001-06-20,0.02,0.055,0.134,0.269,0.395,0.525,0.688,0.863,1.033,1.201,1.603,1.891,,2.219
1313,2001-06-19,0.012,0.055,0.133,0.26,0.389,0.513,0.672,0.854,1.025,1.167,1.591,1.875,,2.208
1314,2001-06-18,0.013,0.055,0.13,0.265,0.393,0.523,0.684,0.862,1.033,1.175,1.594,1.874,,2.209
1315,2001-06-15,0.015,0.054,0.132,0.273,0.4,0.537,0.699,0.87,1.037,1.172,1.587,1.87,,2.204
1316,2001-06-14,0.016,0.049,0.132,0.266,0.392,0.527,0.685,0.85,1.01,1.139,1.548,1.838,,2.171
1317,2001-06-13,0.017,0.054,0.142,0.284,0.41,0.546,0.703,0.866,1.029,1.159,1.566,1.855,,2.186
1318,2001-06-12,0.018,0.055,0.148,0.293,0.421,0.556,0.715,0.878,1.051,1.177,1.585,1.878,,2.207
1319,2001-06-11,0.019,0.053,0.148,0.296,0.427,0.567,0.73,0.9,1.073,1.196,1.61,1.904,,2.233
1320,2001-06-08,0.022,0.055,0.156,0.304,0.438,0.587,0.759,0.923,1.095,1.219,1.632,1.928,,2.258
1321,2001-06-07,0.017,0.055,0.154,0.299,0.428,0.568,0.734,0.906,1.086,1.216,1.628,1.928,,2.254
1322,2001-06-06,0.019,0.058,0.154,0.3,0.432,0.574,0.742,0.918,1.093,1.23,1.645,1.946,,2.268
1323,2001-06-05,0.014,0.052,0.148,0.28,0.412,0.547,0.709,0.882,1.058,1.197,1.604,1.911,,2.235
1324,2001-06-04,0.015,0.055,0.151,0.29,0.425,0.569,0.732,0.903,1.076,1.215,1.609,1.911,,2.238
1325,2001-06-01,0.019,0.052,0.15,0.288,0.423,0.567,0.732,0.908,1.077,1.22,1.601,1.901,,2.234
1326,2001-05-31,0.02,0.052,0.148,0.283,0.419,0.561,0.728,0.907,1.066,1.216,1.594,1.887,,2.222
1327,2001-05-30,0.02,0.056,0.161,0.302,0.447,0.597,0.771,0.948,1.105,1.251,1.63,1.919,,2.251
1328,2001-05-29,0.021,0.056,0.165,0.31,0.457,0.605,0.778,0.953,1.103,1.25,1.62,1.904,,2.245
1329,2001-05-28,0.022,0.056,0.168,0.313,0.465,0.601,0.769,0.938,1.082,1.234,1.623,1.906,,2.249
1330,2001-05-25,0.016,0.056,0.168,0.315,0.469,0.611,0.782,0.948,1.093,1.251,1.645,1.93,,2.274
1331,2001-05-24,0.017,0.055,0.16,0.306,0.464,0.605,0.778,0.949,1.1,1.259,1.659,1.939,,2.29
1332,2001-05-23,0.018,0.055,0.163,0.316,0.475,0.625,0.8,0.97,1.125,1.284,1.67,1.948,,2.309
1333,2001-05-22,0.018,0.055,0.161,0.313,0.476,0.628,0.804,0.975,1.132,1.298,1.677,1.954,,2.317
1334,2001-05-21,0.019,0.05,0.157,0.306,0.467,0.62,0.797,0.976,1.139,1.305,1.671,1.946,,2.311
1335,2001-05-18,0.023,0.045,0.137,0.276,0.434,0.583,0.761,0.94,1.102,1.273,1.634,1.909,,2.281
1336,2001-05-17,0.024,0.06,0.172,0.32,0.477,0.62,0.79,0.958,1.11,1.28,1.632,1.899,,2.277
1337,2001-05-16,0.025,0.064,0.173,0.324,0.488,0.627,0.795,0.958,1.109,1.281,1.638,1.903,,2.298
1338,2001-05-15,0.025,0.069,0.176,0.326,0.49,0.629,0.794,0.953,1.105,1.277,1.651,1.919,,2.355
1339,2001-05-14,0.026,0.055,0.147,0.291,0.451,0.592,0.764,0.932,1.088,1.262,1.64,1.912,,2.349
1340,2001-05-11,0.023,0.053,0.147,0.293,0.458,0.599,0.775,0.946,1.105,1.277,1.659,1.932,,2.362
1341,2001-05-10,0.03,0.073,0.171,0.323,0.491,0.623,0.795,0.96,1.112,1.282,1.668,1.94,,2.369
1342,2001-05-09,0.041,0.088,0.188,0.343,0.509,0.636,0.798,0.958,1.106,1.277,1.668,1.939,,2.375
1343,2001-05-08,0.042,0.096,0.198,0.359,0.525,0.65,0.81,0.979,1.133,1.302,1.703,1.976,,2.407
1344,2001-05-07,0.043,0.095,0.206,0.369,0.539,0.673,0.838,1.015,1.172,1.342,1.734,1.997,,2.424
1345,2001-05-02,0.048,0.099,0.22,0.387,0.559,0.71,0.879,1.054,1.207,1.37,1.753,2.002,,2.425
1346,2001-05-01,0.049,0.098,0.215,0.376,0.55,0.698,0.867,1.038,1.184,1.343,1.716,1.966,,2.38
1347,2001-04-27,0.045,0.097,0.206,0.364,0.534,0.683,0.85,1.022,1.168,1.325,1.696,1.945,,2.362
1348,2001-04-26,0.046,0.097,0.205,0.366,0.54,0.694,0.866,1.034,1.183,1.338,1.708,1.953,,2.371
